match_id,match_date,home,away,home_poss,away_poss,home_manager,home_gender,home_date,home_manager_city,home_style,home_tactics,away_manager,away_gender,away_date,away_manager_city,away_style,away_tactics,venue,attendance,city,referee,ar1,ar2,fourth,var,league,gender,season,referee_cert,ar1_cert,ar2_cert,fourth_cert,var_cert,home_city,away_city
0009d8f9,2022-08-20 22:00,Granada,Racing Sant,57.0,43.0,Karanka Snow,Male,1973-09-23,"Vitoria, Spain",Defensivo,4-4-2,Guillermo Fernández,Male,1982-07-10,"Madrid, Spain",Pragmático,4-4-2,Estadio Nuevo Los Cármenes,12966.0,"Granada, Spain",Dámaso Arcediano,Marcos Cerdán Aguilar,Adrián Díaz,Fulgencio Madrid Martínez,Iñaki Bikandi,Segunda División,Male,2022-2023,CONMEBOL Advanced Referee Accreditation,AFC Master Referee Certification,UEFA Pro Referee License,AFC Master Referee Certification,UEFA Pro Referee License,"Granada, Spain","Santander, Spain"
0012462a,2023-12-03 21:00,Barcelona,Atlético Madrid,58.0,42.0,Xavi Snow,Male,1980-01-25,"Terrassa, Spain",Desarrollo Juvenil,4-3-3,Diego Simeone,Male,1970-04-28,"Buenos Aires, Argentina",Defensivo,4-4-2,Estadi Olímpic Lluís Companys,34568.0,"Barcelona, Spain",José Sánchez,Raúl Cabañero,Juan López,Jorge Díaz,Alejandro Hernández,La Liga,Male,2023-2024,UEFA Pro Referee License,UEFA Pro Referee License,UEFA Pro Referee License,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,"Barcelona, Spain","Madrid, Spain"
001383d7,2023-10-06 21:00,Athletic Club,Almería,59.0,41.0,Ernesto Valverde,Male,1964-02-09,"Viandar de la Vera, Spain",Táctico,4-3-3,Alberto Lasarte,Male,1961-04-15,"Montevideo, Uruguay",Táctico,4-2-3-1,San Mamés,43677.0,"Bilbao, Spain",Víctor García,Joan Méndez,Julián Villaseñor,Alberto Fuente Martín,Javier Villanueva,La Liga,Male,2023-2024,UEFA Pro Referee License,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,AFC Master Referee Certification,CONMEBOL Advanced Referee Accreditation,"Bilbao, Spain","Almería, Spain"
001e097a,2022-04-17 18:15,Huesca,Zaragoza,54.0,46.0,Xisco Snow,Male,1976-05-06,"Petra, Spain",Ofensivo,4-3-3,Juan Ignacio Martínez,Male,1964-02-17,"Cieza, Spain",Táctico,4-4-2,Estadio El Alcoraz,8143.0,"Huesca, Spain",Jon González,David Pérez,Aitor Moleón,Gorka Etayo Herrera,Gorka Sagues,Segunda División,Male,2021-2022,UEFA Pro Referee License,UEFA Pro Referee License,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,"Huesca, Spain","Zaragoza, Spain"
001f02ea,2024-01-21 21:00,Girona,Sevilla,55.0,45.0,Michel Snow,Male,1963-03-23,"Madrid, Spain",Ofensivo,4-3-3,Quique Flores,Male,1965-02-23,"Madrid, Spain",Pragmático,4-2-3-1,Estadi Municipal de Montilivi,13092.0,"Girona, Spain",Pablo González,Israel Bárcena,Rubén Porras,Carlos Fernández Buergo,Eduardo Prieto,La Liga,Male,2023-2024,UEFA Pro Referee License,UEFA Pro Referee License,UEFA Pro Referee License,AFC Master Referee Certification,UEFA Pro Referee License,"Girona, Spain","Sevilla, Spain"
006cb34c,2023-09-28 21:30,Osasuna,Atlético Madrid,55.0,45.0,Jagoba Arrasate,Male,1978-03-12,"Berriatua, Spain",Ofensivo,4-3-3,Diego Simeone,Male,1970-04-28,"Buenos Aires, Argentina",Defensivo,4-4-2,Estadio El Sadar,20192.0,"Pamplona, Spain",Juan Martínez,Diego Barbero,Miguel Martínez,Eder Mallo,Pablo González,La Liga,Male,2023-2024,UEFA Pro Referee License,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,UEFA Pro Referee License,"Pamplona, Spain","Madrid, Spain"
007c5123,2023-05-20 18:30,Getafe,Elche,39.0,61.0,Pepe Bordalás,Male,1964-06-04,"Alicante, Spain",Defensivo,4-4-2,Sebastián Becaccece,Male,1981-01-01,"Rosario, Argentina",Táctico,4-3-3,Coliseum Alfonso Pérez,13927.0,"Getafe, Spain",Javier Villanueva,Jorge Bueno,Antonio Cerezo,Daniel Palencia,Xavi Estrada,La Liga,Male,2022-2023,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,"Getafe, Spain","Elche, Spain"
00802720,2023-02-26 16:15,Levante,Lugo,71.0,29.0,Javier Calleja,Male,1978-05-12,"Madrid, Spain",Ofensivo,4-3-3,Joan Milan Carrillo,Male,1985-03-10,"Barcelona, Spain",Ofensivo,4-3-3,Estadio Ciudad de Valencia,12699.0,"Valencia, Spain",Jon González,David Pérez,Asier Pérez de Mendiola,Pablo Morales,Rafael Sánchez,Segunda División,Male,2022-2023,UEFA Pro Referee License,UEFA Pro Referee License,AFC Master Referee Certification,UEFA Pro Referee License,UEFA Pro Referee License,"Valencia, Spain","Lugo, Spain"
00924c9f,2024-01-27 21:00,Levante,Tenerife,46.0,54.0,Javier Calleja,Male,1978-05-12,"Madrid, Spain",Ofensivo,4-3-3,Asier Garitano,Male,1970-02-20,"Bergara, Spain",Táctico,4-2-3-1,Estadio Ciudad de Valencia,14427.0,"Valencia, Spain",José López,David Ortiz,Josep Bordoy,Alejandro Ojaos,Gorka Sagues,Segunda División,Male,2023-2024,UEFA Pro Referee License,UEFA Pro Referee License,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,"Valencia, Spain","Tenerife, Spain"
00a045c2,2022-05-15 14:00,Alcorcón,Las Palmas,45.0,55.0,Fran Fernández,Male,1981-03-03,"Salamanca, Spain",Defensivo,4-4-2,García Pimienta,Male,1974-08-01,"Barcelona, Spain",Desarrollo Juvenil,4-3-3,Estadio Santo Domingo,1557.0,"Alcorcón, Spain",Iosu Galech,Álvaro Granel,Ion Rodríguez Portela,Salvador Lax,Iñaki Bikandi,Segunda División,Male,2021-2022,UEFA Pro Referee License,UEFA Pro Referee License,AFC Master Referee Certification,UEFA Pro Referee License,UEFA Pro Referee License,"Alcorcón, Spain","Las Palmas de Gran Canaria, Spain"
00a4b1aa,2022-12-04 16:00,Alhama,Villarreal,52.0,48.0,Yehuda Huta,Male,1967-09-19,"Bnei Brak, Israel",Pragmático,4-2-3-1,Sara Monforte,Female,1983-05-21,"Valencia, Spain",Táctico,4-3-3,Complejo Deportivo Guadalentín,,"Alhama de Murcia, Spain",Marta Frías Acedo,Guadalupe Porras Ayuso,María Del Pilar Delgado Guisado,Coral Couso Cuadrado,,Liga F,Female,2022-2023,CONMEBOL Advanced Referee Accreditation,AFC Master Referee Certification,,AFC Master Referee Certification,,"Alhama de Murcia, Spain","Villarreal, Spain"
00befa04,2021-10-10 18:15,Alcorcón,Burgos,55.0,45.0,Jorge Romero,Male,1976-08-11,"Zaragoza, Spain",Táctico,4-2-3-1,Julián Calero,Male,1971-01-16,"Madrid, Spain",Defensivo,4-2-3-1,Estadio Santo Domingo,1953.0,"Alcorcón, Spain",Iosu Galech,Álvaro Granel,Ion Rodríguez Portela,José Guzmán,Iñaki Bikandi,Segunda División,Male,2021-2022,UEFA Pro Referee License,UEFA Pro Referee License,AFC Master Referee Certification,UEFA Pro Referee License,UEFA Pro Referee License,"Alcorcón, Spain","Burgos, Spain"
01037ff0,2022-10-20 20:00,Osasuna,Espanyol,64.0,36.0,Jagoba Arrasate,Male,1978-03-12,"Berriatua, Spain",Ofensivo,4-3-3,Diego Martínez,Male,1980-05-31,"Zamora, Spain",Desarrollo Juvenil,4-3-3,Estadio El Sadar,17832.0,"Pamplona, Spain",Mario Melero,José Martínez,Aitor Villate,Miguel Sesma,José González,La Liga,Male,2022-2023,UEFA Pro Referee License,UEFA Pro Referee License,UEFA Pro Referee License,UEFA Pro Referee License,UEFA Pro Referee License,"Pamplona, Spain","Barcelona, Spain"
012ba4f0,2023-05-13 14:00,Real Sociedad,Girona,51.0,49.0,Imanol Alguacil,Male,1971-04-22,"Orio, Spain",Ofensivo,4-3-3,Michel Snow,Male,1963-03-23,"Madrid, Spain",Ofensivo,4-3-3,Reale Arena,30027.0,"San Sebastián, Spain",Jorge Figueroa,Álvaro Carreño,Rubén Becerril,Álvaro López,José Luis Munuera,La Liga,Male,2022-2023,UEFA Pro Referee License,UEFA Pro Referee License,UEFA Pro Referee License,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,"San Sebastián, Spain","Girona, Spain"
017a4820,2023-09-02 21:00,Villarreal B,Cartagena,58.0,42.0,Miguel Álvarez,Male,1964-11-15,"Castro Urdiales, Spain",Desarrollo Juvenil,4-3-3,Víctor Sánchez,Male,1977-02-08,"Valencia, Spain",Ofensivo,4-2-3-1,Estadio de la Cerámica,1522.0,"Villarreal, Spain",Iosu Galech,Marcos Barroso Galán,Álvaro González Narváez,Imanol Irurtzun Artola,David Gálvez,Segunda División,Male,2023-2024,UEFA Pro Referee License,AFC Master Referee Certification,AFC Master Referee Certification,AFC Master Referee Certification,UEFA Pro Referee License,"Villarreal, Spain","Cartagena, Spain"
017d009d,2024-02-17 16:15,Oviedo,Burgos,56.0,44.0,Luis Carrión,Male,1978-07-26,"Barcelona, Spain",Pragmático,4-4-2,Bolo Snow,Male,1970-10-28,"Oviedo, Spain",Pragmático,4-2-3-1,Estadio Carlos Tartiere,17813.0,"Oviedo, Spain",Saúl Ais,Marcos Saenén,Rubén Campo Hernández,Imanol Irurtzun Artola,Aitor Gorostegui,Segunda División,Male,2023-2024,FIFA Elite Referee Certification,UEFA Pro Referee License,AFC Master Referee Certification,AFC Master Referee Certification,CONMEBOL Advanced Referee Accreditation,"Oviedo, Spain","Burgos, Spain"
01aca4d0,2021-10-31 16:00,Oviedo,Málaga,43.0,57.0,Cuco Ziganda,Male,1966-10-01,"Larraintzar, Spain",Defensivo,4-4-2,José Alberto López,Male,1983-08-17,"Oviedo, Spain",Pragmático,4-4-2,Estadio Nuevo Carlos Tartiere,8369.0,"Oviedo, Spain",Saúl Ais,Marcos Saenén,Rubén Campo Hernández,Gorka Etayo Herrera,David Pérez,Segunda División,Male,2021-2022,FIFA Elite Referee Certification,UEFA Pro Referee License,AFC Master Referee Certification,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,"Oviedo, Spain","Málaga, Spain"
01b21bc9,2023-12-10 14:00,Elche,Cartagena,64.0,36.0,Sebastián Becaccece,Male,1981-01-01,"Rosario, Argentina",Táctico,4-3-3,Julián Calero,Male,1971-01-16,"Madrid, Spain",Defensivo,4-2-3-1,Estadio Manuel Martínez Valero,15452.0,"Elche, Spain",Luis Milla,Roberto Tejero,Iván Ríos,Luis Bestard Servera,Rubén Ávalos,Segunda División,Male,2023-2024,UEFA Pro Referee License,UEFA Pro Referee License,FIFA Elite Referee Certification,AFC Master Referee Certification,UEFA Pro Referee License,"Elche, Spain","Cartagena, Spain"
01d96d00,2023-10-06 21:00,Albacete,Levante,65.0,35.0,Rubén Albés,Male,1985-08-07,"Girona, Spain",Táctico,4-3-3,Javier Calleja,Male,1978-05-12,"Madrid, Spain",Ofensivo,4-3-3,Estadio Carlos Belmonte,13246.0,"Albacete, Spain",José López,David Ortiz,Josep Bordoy,Pedro Muñoz,Daniel Trujillo,Segunda División,Male,2023-2024,UEFA Pro Referee License,UEFA Pro Referee License,UEFA Pro Referee License,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,"Albacete, Spain","Valencia, Spain"
01dea01a,2024-01-28 16:15,Cádiz,Athletic Club,44.0,56.0,Mauricio Pellegrino,Male,1971-10-05,"Leones, Argentina",Defensivo,4-4-2,Ernesto Valverde,Male,1964-02-09,"Viandar de la Vera, Spain",Táctico,4-3-3,Estadio Nuevo Mirandilla,18839.0,"Jerez de la Frontera, Spain",Mateo Busquets,Iván Masso Granado,Gonzalo García,David López Jiménez,Carlos del Cerro,La Liga,Male,2023-2024,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,CONMEBOL Advanced Referee Accreditation,"Cádiz, Spain","Bilbao, Spain"
01df94c3,2021-12-11 20:00,Tenerife,Lugo,49.0,51.0,Ramis Snow,Male,1970-07-09,"Maó, Spain",Defensivo,4-4-2,Rubén Albés,Male,1985-08-07,"Girona, Spain",Táctico,4-3-3,Estadio Heliodoro Rodríguez Lopéz,9617.0,"Santa Cruz de Tenerife, Spain",David Gálvez,Guillermo Santiago,David Bernal Martín,Albert Catalá,Gorka Sagues,Segunda División,Male,2021-2022,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,UEFA Pro Referee License,"Tenerife, Spain","Lugo, Spain"
01f34256,2023-11-25 14:00,Rayo Vallecano,Barcelona,33.0,67.0,Francisco Snow,Male,1979-10-06,"Salamanca, Spain",Táctico,4-4-2,Xavi Snow,Male,1980-01-25,"Terrassa, Spain",Desarrollo Juvenil,4-3-3,Estadio del Rayo Vallecano,14148.0,"Madrid, Spain",José Luis Munuera,Iñigo Prieto,Antonio Martínez,José Antonio Sánchez,Santiago Jaime,La Liga,Male,2023-2024,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,AFC Master Referee Certification,UEFA Pro Referee License,"Madrid, Spain","Barcelona, Spain"
02377ee5,2023-08-27 21:30,Leganés,Albacete,33.0,67.0,Borja Jiménez,Male,1979-04-19,"Santo Domingo de la Calzada, Spain",Ofensivo,4-3-3,Rubén Albés,Male,1985-08-07,"Girona, Spain",Táctico,4-3-3,Estadio Municipal de Butarque,6927.0,"Leganés, Spain",Iván Caparrós,Javier García Lorenzo,Christian García,Álvaro Canovas,Raúl González,Segunda División,Male,2023-2024,UEFA Pro Referee License,AFC Master Referee Certification,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,UEFA Pro Referee License,"Leganés, Spain","Albacete, Spain"
02437ddd,2021-10-20 21:00,Lugo,Las Palmas,31.0,69.0,Rubén Albés,Male,1985-08-07,"Girona, Spain",Táctico,4-3-3,Pepe Mel,Male,1963-02-28,"Madrid, Spain",Defensivo,4-4-2,Estadio Anxo Carro,2110.0,"Lugo, Spain",Rubén Ávalos,Brian Valencia,Josep Antoni Vigo Gatius,Álvaro López,Iñaki Bikandi,Segunda División,Male,2021-2022,UEFA Pro Referee License,UEFA Pro Referee License,AFC Master Referee Certification,UEFA Pro Referee License,UEFA Pro Referee License,"Lugo, Spain","Las Palmas de Gran Canaria, Spain"
0244c396,2021-10-19 19:00,Huesca,Málaga,57.0,43.0,Ignacio Ambríz,Male,1965-02-11,"México City, México",Ofensivo,4-3-3,José Alberto López,Male,1983-08-17,"Oviedo, Spain",Pragmático,4-4-2,Estadio El Alcoraz,6333.0,"Huesca, Spain",David Gálvez,Guillermo Santiago,David Bernal Martín,Daniel Palencia,Víctor Areces,Segunda División,Male,2021-2022,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,CONMEBOL Advanced Referee Accreditation,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,"Huesca, Spain","Málaga, Spain"
02710e55,2023-11-26 17:30,Tenerife,Cartagena,61.0,39.0,Asier Garitano,Male,1970-02-20,"Bergara, Spain",Táctico,4-2-3-1,Julián Calero,Male,1971-01-16,"Madrid, Spain",Defensivo,4-2-3-1,Estadio Heliodoro Rodríguez Lopéz,16423.0,"Santa Cruz de Tenerife, Spain",Germán Cid Camacho,Rubén Becerril,Sergi López,Álvaro Rodríguez,David Gálvez,Segunda División,Male,2023-2024,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,"Tenerife, Spain","Cartagena, Spain"
