id,cost,exclusive,PlacementDate,placement_type,type_description,ads,building,programme,post
1,261500,2024-02-05 22:20:55,0,Affiliate Marketing,Earning a commission for promoting another company's products or services.,3023,,EspañaVision - Weekend Magazine,
1,261500,2024-02-05 22:20:55,0,Affiliate Marketing,Earning a commission for promoting another company's products or services.,2066,Las Palmas - Referee's Choice Sports,,17355
1,261500,2024-02-05 22:20:55,0,Affiliate Marketing,Earning a commission for promoting another company's products or services.,4164,,BoxingArena Radio - Rockin' Rhythms,12935
1,261500,2024-02-05 22:20:55,0,Affiliate Marketing,Earning a commission for promoting another company's products or services.,1511,,CrimeAlert TV - Sports Talk,
1,261500,2024-02-05 22:20:55,0,Affiliate Marketing,Earning a commission for promoting another company's products or services.,4528,Burgos - TurfTrends Emporium,,20264
1,261500,2024-02-05 22:20:55,0,Affiliate Marketing,Earning a commission for promoting another company's products or services.,10697,,,17240
1,261500,2024-02-05 22:20:55,0,Affiliate Marketing,Earning a commission for promoting another company's products or services.,9294,Real Sociedad B - Referee's Choice Sports,,20678
1,261500,2024-02-05 22:20:55,0,Affiliate Marketing,Earning a commission for promoting another company's products or services.,8157,Las Palmas - Referee's Choice Sports,LocalPress FM - Classic Countdown,18062
1,261500,2024-02-05 22:20:55,0,Affiliate Marketing,Earning a commission for promoting another company's products or services.,4049,Real Madrid - SoccerSphere,,17036
1,261500,2024-02-05 22:20:55,0,Affiliate Marketing,Earning a commission for promoting another company's products or services.,10811,,EscaladaExtreme TV - Investigative Report,
1,261500,2024-02-05 22:20:55,0,Affiliate Marketing,Earning a commission for promoting another company's products or services.,10630,,AireAventura TV - Late Night Sports,15741
1,261500,2024-02-05 22:20:55,0,Affiliate Marketing,Earning a commission for promoting another company's products or services.,9368,,,
1,261500,2024-02-05 22:20:55,0,Affiliate Marketing,Earning a commission for promoting another company's products or services.,5663,Villarreal B - KickOff Kits,,21141
1,261500,2024-02-05 22:20:55,0,Affiliate Marketing,Earning a commission for promoting another company's products or services.,10388,,,14326
1,261500,2024-02-05 22:20:55,0,Affiliate Marketing,Earning a commission for promoting another company's products or services.,4735,,Galicia Radio - Evening Echoes,16840
1,261500,2024-02-05 22:20:55,0,Affiliate Marketing,Earning a commission for promoting another company's products or services.,5651,,BoxingArena Radio - Retro Rewind,15132
2,384000,2024-01-29 05:45:47,1,Influencer Marketing,Collaborating with influencers to promote a product or service.,8799,Huesca - TurfTrends Emporium,,
2,384000,2024-01-29 05:45:47,1,Influencer Marketing,Collaborating with influencers to promote a product or service.,5737,,,16392
2,384000,2024-01-29 05:45:47,1,Influencer Marketing,Collaborating with influencers to promote a product or service.,5856,,TravelBulletin FM - Soulful Sessions,
2,384000,2024-01-29 05:45:47,1,Influencer Marketing,Collaborating with influencers to promote a product or service.,7617,Racing Sant - KickOff Kits,GolSports TV - Prime Time News,16233
2,384000,2024-01-29 05:45:47,1,Influencer Marketing,Collaborating with influencers to promote a product or service.,9583,Las Palmas - TurfTrends Emporium,WeatherUpdate TV - Sports Express,17628
2,384000,2024-01-29 05:45:47,1,Influencer Marketing,Collaborating with influencers to promote a product or service.,3931,,Sevilla Sonora - Morning Melodies,
2,384000,2024-01-29 05:45:47,1,Influencer Marketing,Collaborating with influencers to promote a product or service.,5955,Leganés - Striker's Style Outlet,Galicia Radio Viva - Twilight Tunes,21197
2,384000,2024-01-29 05:45:47,1,Influencer Marketing,Collaborating with influencers to promote a product or service.,4505,Mallorca - NetBound Sports,,21745
2,384000,2024-01-29 05:45:47,1,Influencer Marketing,Collaborating with influencers to promote a product or service.,4635,Málaga - Referee's Choice Sports,Navarra TV - Political Digest,13517
2,384000,2024-01-29 05:45:47,1,Influencer Marketing,Collaborating with influencers to promote a product or service.,4041,Alhama - CornerKick Collections,Canarias Soundwaves - Late Night Jazz,17881
2,384000,2024-01-29 05:45:47,1,Influencer Marketing,Collaborating with influencers to promote a product or service.,6516,,,20991
2,384000,2024-01-29 05:45:47,1,Influencer Marketing,Collaborating with influencers to promote a product or service.,2480,,,14630
2,384000,2024-01-29 05:45:47,1,Influencer Marketing,Collaborating with influencers to promote a product or service.,5100,Huesca - CornerKick Collections,,22254
2,384000,2024-01-29 05:45:47,1,Influencer Marketing,Collaborating with influencers to promote a product or service.,6456,Ibiza - CornerKick Collections,Asturias Radio - Retro Rewind,
2,384000,2024-01-29 05:45:47,1,Influencer Marketing,Collaborating with influencers to promote a product or service.,2125,Valencia - NetBound Sports,,
3,222500,2021-03-17 08:52:21,1,Television Commercials,Video ads broadcasted on television networks during commercial breaks.,7383,,,21806
3,222500,2021-03-17 08:52:21,1,Television Commercials,Video ads broadcasted on television networks during commercial breaks.,2724,Sporting Huelva - TurfTrends Emporium,Costa Vision - Live Sports Update,16031
3,222500,2021-03-17 08:52:21,1,Television Commercials,Video ads broadcasted on television networks during commercial breaks.,6065,Real Sociedad B - PitchSide Pro Shop,,20651
3,222500,2021-03-17 08:52:21,1,Television Commercials,Video ads broadcasted on television networks during commercial breaks.,7966,,LocalPress FM - Soulful Sessions,17892
3,222500,2021-03-17 08:52:21,1,Television Commercials,Video ads broadcasted on television networks during commercial breaks.,4292,,Galicia TV - Magazine Showcase,
